"id","N","P","K","temperature","humidity","ph","rainfall","crop","crop_code","depto_code","id_depto","departamento_colombia","zona_vida","crop_code","crop","temperature_min","temperature_max","rainfall_min","rainfall_max"
34,98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
35,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
36,95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
37,99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
38,95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
39,60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
40,63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
41,62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
42,64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
43,83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
44,82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
45,85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
46,91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
47,76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
48,74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
49,79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
50,88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
51,60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
52,76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
53,93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
54,65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
55,95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
56,75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
57,74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
58,91,36,45,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
59,71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
60,99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
61,72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
62,83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
63,93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
64,70,36,42,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
65,76,47,42,20.08369642,83.29114712,5.739175027000001,263.6372176,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
66,99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
67,99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
68,86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
69,69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
70,91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
71,61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
72,67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
73,79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
74,78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
75,75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
76,97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
77,67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
78,73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
79,77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
80,81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
81,68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
82,72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
83,61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
84,67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
85,67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
86,66,60,38,22.08576562,83.47038318,6.372576327000001,231.7364957,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
87,82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
88,84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
89,81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
90,91,50,40,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
91,93,53,38,26.92995077,81.91411159,7.069172227,290.67937830000005,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
92,90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
93,81,45,35,26.52872817,80.12267476,6.158376967000001,218.9163567,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
94,78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
95,60,51,36,22.69657794,82.81088865,6.028321557999999,256.9964761,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
96,88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
97,93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
98,60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
99,78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
100,65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,1,1,1,Llanos orientales,X,1,rice,20.0,33.0,1000.0,2500.0
101,71,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
102,61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
103,80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
104,73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
105,61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
106,68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
107,93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
108,89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
109,76,44,17,20.41683147,62.55424820000001,5.855442401,65.27798457,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
110,67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
111,70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
112,90,49,21,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
113,62,52,16,22.27526694,58.84015925,6.9670577620000005,63.87020584,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
114,92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
115,66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
116,63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
117,70,47,17,24.612911800000006,70.4162444,6.600827017,104.1626147,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
118,61,41,17,25.1420613,65.26185135,6.021902237000001,76.68456006,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
119,66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
120,74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
121,77,57,21,24.9321581,73.80435276,6.550563822999999,79.74078719,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
122,99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
123,74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
124,83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
125,100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
126,79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
127,94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
128,75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
129,78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
130,87,54,20,25.61707368,63.4711755,6.576418207000001,108.8303762,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
131,87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
132,63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
133,84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
134,64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
135,60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
136,98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
137,75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
138,86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
139,98,35,18,23.79746068,74.82913698,6.252797547999999,91.76337172,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
140,76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
141,99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
142,60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
143,74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
144,89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
145,69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
146,96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
147,61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
148,74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
149,74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
150,63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
151,99,36,20,20.57981887,65.34583901,6.671085817000001,78.34604471,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
152,77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
153,87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
154,60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
155,94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
156,95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
157,84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
158,77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
159,66,44,20,19.0781471,69.02298571,6.740000687999999,80.72515943,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
160,63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
161,79,45,20,23.80546189,59.24537979,5.715208817000001,89.96220140000001,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
162,72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
163,67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
164,86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
165,76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
166,75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
167,81,45,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
168,73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
169,71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
170,96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
171,99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
172,62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
173,86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
174,94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
175,76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
176,77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
177,74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
178,81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
179,63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
180,99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
181,90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
182,68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
183,60,57,24,18.66116213,61.55327249,6.1212940410000005,75.03247667,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
184,71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
185,61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize,2,1,1,Llanos orientales,X,2,maize,10.0,40.0,400.0,2200.0
