id,N,P,K,temperature,humidity,ph,rainfall,crop,crop_code,depto_code,id_depto,departamento_colombia,zona_vida,temperature_min,temperature_max,rainfall_min,rainfall_max,Longitud,Latitud
11,91,53,40,2.652.723.513,8.141.753.846,5.386.167.788,2.646.148.697,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
12,90,46,42,2.397.898.217,8.145.061.596,750.283.396,2.500.832.336,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
13,78,58,44,2.680.079.604,8.088.684.822,5.108.681.786,2.844.364.567,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
14,93,56,36,2.401.497.622,8.205.687.182,698.435.366,1.852.773.389,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
15,94,50,37,2.566.585.205,8.066.385.045,694.801.983,2.095.869.708,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
16,60,48,39,2.428.209.415,8.030.025.587,7.042.299.068.999.990,2.310.863.347,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
17,85,38,41,2.158.711.777,827.883.708,62.490.506.560.000.000,27.665.524.589.999.900,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
18,91,35,39,2.379.391.957,8.041.817.957,6.970.859.754,2.062.611.855,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
19,77,38,36,218.652.524,801.923.008,5.953.933.276,22.455.501.690.000.000,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
20,88,35,40,2.357.943.626,8.358.760.316,585.393.208,2.912.986.618.000.000,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
21,89,45,36,2.132.504.158,8.047.476.396,6.442.475.375,1.854.974.732,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
22,76,40,43,2.515.745.531,8.311.713.476,5.070.175.667,2.313.843.163,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
23,67,59,41,2.194.766.735,8.097.384.195,6.012.632.591,2.133.560.921,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
24,83,41,43,210.525.355,8.267.839.517,6.254.028.451,2.331.075.816,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
25,98,47,37,2.348.381.344,8.133.265.073,7.375.482.851,2.240.581.164,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
26,66,53,41,250.756.354,8.052.389.148,7.778.915.154,2.570.038.865,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
27,97,59,43,2.635.927.159,8.404.403.589,62.865.001.760.000.000,27.135.861.370.000.000,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
28,97,50,41,2.452.922.681,8.054.498.576,7.070.959.995,2.602.634.026,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
29,60,49,44,2.077.576.147,8.449.774.397,6.244.841.491,2.400.810.647,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
30,84,51,35,2.230.157.427,8.064.416.466,6.043.304.899,1.979.791.215,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
31,73,57,41,2.144.653.958,8.494.375.962,5.824.709.117,2.722.017.204,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
32,92,35,40,2.217.931.888,8.033.127.223,63.573.893.660.000.000,2.000.882.787,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
33,85,37,39,2.452.783.742,8.273.685.569,6.364.134.967.999.990,22.467.572.310.000.000,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
34,98,53,38,2.026.707.606,8.163.895.217,501.450.727,2.704.417.274,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
35,88,54,44,257.354.293,8.388.266.234,6.149.410.611,2.331.321.372,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
36,95,55,42,2.679.533.926,821.480.873,5.950.660.556,1.933.473.987,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
37,99,57,35,2.675.754.171,8.117.734.011,5.960.370.061,27.229.990.560.000.000,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
38,95,39,36,2.386.330.467,8.315.250.801,5.561.398.642,2.852.493.645,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
39,60,43,44,2.101.944.696,8.295.221.726,7.416.245.107.000.000,29.840.184.710.000.000,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
40,63,44,41,2.417.298.839,837.287.574,5.583.370.042,2.570.343.554,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
41,62,42,36,2.278.133.816,8.206.719.137,6.430.010.215,2.487.183.228,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
42,64,45,43,2.562.980.105,8.352.842.314,5.534.878.156,2.099.001.977,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
43,83,60,36,2.559.704.938,8.014.509.262,6.903.985.986,200.834.898,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
44,82,40,40,2.383.067.496,8.481.360.127,6.271.478.837.999.990,2.985.601.175,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
45,85,52,45,2.631.355.498,8.236.698.992,7.224.285.503,2.655.355.937,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
46,91,35,38,248.972.823,8.052.586.088,613.428.721,1.836.793.207,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
47,76,49,42,24.958.779,8.447.963.372,5.206.373.153,19.695.600.080.000.000,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
48,74,39,38,2.324.113.501,8.459.201.843,7.782.051.312.999.990,2.330.453.455,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
49,79,43,39,2.166.628.296,8.070.960.551,7.062.779.015,2.108.142.087,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
50,88,55,45,2.463.544.858,8.041.363.018,7.730.367.824,2.537.202.781,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
51,60,36,43,2.343.121.862,8.306.310.136,5.286.203.711.000.000,2.199.048.349,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
52,76,60,39,200.454.142,803.477.562,6.766.240.045,2.085.810.155,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
53,93,56,42,2.385.724.032,8.222.572.988,7.382.762.603,1.950.948.311,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
54,65,60,43,2.197.199.397,8.189.918.197,5.658.169.482.000.000,2.273.637.009,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
55,95,52,36,2.622.916.897,8.383.625.819,5.543.360.237.999.990,2.865.083.725,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
56,75,38,39,2.344.676.801,8.479.352.417,6.215.109.715,2.839.338.466,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
57,74,54,38,2.565.553.461,8.347.021.081,7.120.272.972,2.173.788.583,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
58,91,36,45,2.444.345.477,8.245.432.595,5.950.647.577.000.000,26.797.619.480.000.000,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
59,71,46,40,202.801.937,821.235.421,7.236.705.436,1.919.535.738,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
60,99,55,35,217.238.313,802.389.895,6.501.697.816,2.779.626.192,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
61,72,40,38,2.041.447.029,8.220.802.629,7.592.490.617,2.451.511.304,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
62,83,58,45,2.575.528.612,8.351.827.127,5.875.345.751,2.456.626.799,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
63,93,58,38,2.061.521.424,8.377.345.559,6.932.400.225,2.795.451.717,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
64,70,36,42,2.184.106.875,8.072.886.384,69.462.098.810.000.000,2.023.838.319,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
65,76,47,42,2.008.369.642,8.329.114.712,5.739.175.027.000.000,2.636.372.176,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
66,99,41,36,2.445.802.087,8.274.835.604,6.738.652.179,1.825.616.319,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
67,99,54,37,2.114.347.496,8.033.502.926,55.948.196.260.000.000,1.986.730.942,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
68,86,59,35,2.578.720.567,8.211.124.033,6.946.636.369,2.435.120.414,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
69,69,46,41,2.364.124.821,8.028.597.873,5.012.139.669,2.631.103.304,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
70,91,56,37,2.343.191.632,8.056.887.849,6.363.472.207.999.990,2.695.039.162,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
71,61,52,41,2.497.669.518,83.891.805,6.880.431.223,2.048.001.847,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
72,67,45,38,2.272.791.041,8.217.068.809.999.990,7.300.410.836,2.608.875.056,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
73,79,42,37,2.487.300.744,8.284.022.551,6.587.918.707.999.990,2.956.094.492.000.000,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
74,78,43,42,2.132.376.327,8.300.320.459,7.283.736.617.000.000,1.923.197.536,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
75,75,54,36,2.629.465.461,8.456.919.326,7.023.936.392,2.574.914.906,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
76,97,36,45,222.286.982,8.185.872.947,6.939.083.505,2.780.791.793,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
77,67,47,44,2.673.072.391,8.178.596.776,7.868.474.653,2.804.044.392,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
78,73,35,38,2.488.921.174,8.197.927.117,5.005.306.977,1.859.461.429,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
79,77,36,37,2.688.444.878,8.146.033.732,6.136.131.869,1.945.766.559,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
80,81,41,38,2.267.846.116,8.372.874.389,75.240.800.760.000.000,2.009.133.156,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
81,68,57,43,2.608.867.875,8.037.979.919,5.706.943.251,1.829.043.504,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
82,72,45,35,2.542.977.518,8.294.682.591,5.758.506.323,1.953.574.542,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
83,61,53,43,2.640.323.239,8.105.635.517,6.349.606.327,2.233.671.883,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
84,67,43,39,2.604.371.967,8.496.907.151,59.999.690.260.000.000,1.867.536.773,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
85,67,58,39,252.827.223,8.054.372.813,5.453.592.032,2.201.156.708,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
86,66,60,38,2.208.576.562,8.347.038.318,6.372.576.327.000.000,2.317.364.957,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
87,82,43,38,2.328.617.173,8.143.321.641,5.105.588.355,2.423.170.629,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
88,84,50,44,2.548.591.986,8.140.633.547,59.353.444.060.000.000,1.826.549.356,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
89,81,53,42,2.367.575.393,8.103.569.343,517.782.304,2.337.034.975,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
90,91,50,40,2.082.477.109,841.341.879,6.462.391.607.000.000,23.022.422.230.000.000,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
91,93,53,38,2.692.995.077,8.191.411.159,7.069.172.227,29.067.937.830.000.000,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
92,90,44,38,2.383.509.503,8.388.387.074,7.473.134.377,24.120.135.130.000.000,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
93,81,45,35,2.652.872.817,8.012.267.476,6.158.376.967.000.000,2.189.163.567,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
94,78,40,38,2.646.428.311,8.385.642.678,7.549.873.681,2.482.256.491,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
95,60,51,36,2.269.657.794,8.281.088.865,6.028.321.557.999.990,2.569.964.761,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
96,88,46,42,2.268.319.059,8.346.358.271,6.604.993.475,1.942.651.719,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
97,93,47,37,2.153.346.343,8.214.004.101,6.500.343.222.000.000,2.959.248.796,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
98,60,55,45,2.140.865.769,8.332.931.909.999.990,5.935.745.417.000.000,2.875.766.935.000.000,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
99,78,35,44,2.654.348.085,8.467.353.597,7.072.655.622,1.836.222.657,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
100,65,37,40,2.335.905.428,8.359.512.273,5.333.322.606,188.413.665,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
101,71,54,16,2.261.359.953,6.369.070.564,57.499.144.210.000.000,8.775.953.857,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
102,61,44,17,2.610.018.422,7.157.476.937,6.931.756.557.999.990,1.022.662.445,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
103,80,43,16,2.355.882.094,7.159.351.368,6.657.964.753,6.671.995.467,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
104,73,58,21,1.997.215.954,5.768.272.924,6.596.060.648,6.065.171.481,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
105,61,38,20,1.847.891.261,6.269.503.871,5.970.458.434,6.543.835.393,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
106,68,41,16,2.177.689.322,5.780.840.636,6.158.830.619,1.020.861.694,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
107,93,41,17,256.217.169,6.650.415.474,6.047.906.679,1.054.654.703,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
108,89,60,19,2.519.192.419,6.669.029.010.000.000,5.913.664.501,7.806.639.649,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
109,76,44,17,2.041.683.147,6.255.424.820.000.000,5.855.442.401,6.527.798.457,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
110,67,60,25,2.492.162.194,6.678.627.406,5.750.254.943,1.092.162.279,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
111,70,44,19,2.331.689.124,734.541.537,5.852.607.099,9.429.712.821,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
112,90,49,21,2.484.016.732,683.584.573,64.725.232.870.000.000,7.405.474.936,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
113,62,52,16,2.227.526.694,5.884.015.925,69.670.577.620.000.000,6.387.020.584,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
114,92,44,16,1.887.751.445,6.576.816.093,6.082.973.754,9.476.189.431,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
115,66,54,21,2.519.008.683,60.200.168.700.000.000,5.919.045.532,7.212.375.573,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
116,63,58,22,1.825.405.352,5.528.220.433,6.204.747.652.999.990,6.372.358.154,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
117,70,47,17,24.612.911.800.000.000,704.162.444,6.600.827.017,1.041.626.147,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
118,61,41,17,251.420.613,6.526.185.135,6.021.902.237.000.000,7.668.456.006,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
119,66,53,19,2.309.348.056,6.011.593.810.000.000,6.033.550.195,6.549.730.729,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
120,74,55,19,1.805.033.737,6.289.366.992,628.886.807,8.423.613.484,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
121,77,57,21,249.321.581,7.380.435.276,6.550.563.822.999.990,7.974.078.719,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
122,99,50,15,1.814.710.054,7.109.445.342,5.573.286.437,8.807.753.741,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
123,74,56,22,1.828.362.235,6.665.952.796,6.829.199.275,8.097.573.281,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
124,83,45,21,1.883.344.471,5.875.082.029,5.716.222.912,7.975.328.959.999.990,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
125,100,48,16,2.571.895.816,6.722.190.688,554.990.242,7.451.490.791,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
126,79,51,16,2.533.797.709,6.849.835.977,6.586.244.581,9.646.380.213,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
127,94,39,18,2.389.114.571,5.748.775.781,5.893.093.135,1.028.301.942,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
128,75,49,15,2.153.574.127,7.150.905.983,5.918.263.801,1.024.852.929,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
129,78,48,22,2.308.974.909,6.310.459.626,5.588.650.585,7.043.473.609,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
130,87,54,20,2.561.707.368,634.711.755,6.576.418.207.000.000,1.088.303.762,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
131,87,35,25,2.144.526.922,631.621.551,6.178.056.304,6.588.951.188,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
132,63,43,19,1.851.816.776,5.553.128.131,6.641.906.353,90.988.051,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
133,84,57,25,2.253.510.514,6.799.257.471,6.489.040.367,6.440.866.039,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
134,64,35,23,2.302.038.334,6.189.472.002,5.680.361.037.999.990,6.303.843.397,maize,2,1,1,Casanare,Bosque Subhumedo-Tropical,10.0,40.0,400.0,2200.0,"-71,60188121","5,404063946"
